iataCode,cityName,regionName,regionID
CHG,chaoyang,liaoning,1015
DLC,dalian,liaoning,1015
JNZ,jinzhou,liaoning,1015
SHE,shenyang,liaoning,1015
YKH,yingkou,liaoning,1015
GYU,guyuan,ningxia,NULL
INC,yinchuan,ningxia,NULL
ZHY,zhongwei,ningxia,NULL
HXD,delingha,qinghai,NULL
GOQ,golmud,qinghai,NULL
HTT,chengdu,qinghai,NULL
GMQ,golog,qinghai,NULL
HBQ,qilian,qinghai,NULL
XNN,xining,qinghai,NULL
YUS,yushu,qinghai,NULL
XIY,xian,shaanxi,NULL
UYN,yulin,shaanxi,NULL
DOY,dongying,shandong,1016
HZA,heze,shandong,1016
TNA,jinan,shandong,1016
JNG,jining,shandong,1016
LYI,linyi,shandong,1016
TAO,qingdao,shandong,1016
RIZ,rizhao,shandong,1016
YNT,yantai,shandong,1016
SHA,shanghai,shanghai,1017
PVG,shanghai,shanghai,1017
DAT,datong,shanxi,1018
LFQ,linfen,shanxi,1018
LLV,luliang,shanxi,1018
SZH,shuozhou,shanxi,1018
TYN,taiyuan,shanxi,1018
YCU,yuncheng,shanxi,1018
AHJ,hongyuan,sichuan,1019
BZX,bazhong,sichuan,1019
CTU,chengdu,sichuan,1019
TFU,chengdu,sichuan,1019
DCY,daocheng,sichuan,1019
DZH,dazhou,sichuan,1019
GZG,garze,sichuan,1019
GYS,guangyuan,sichuan,1019
JZH,jiuzhaigou,sichuan,1019
KGT,kangding,sichuan,1019
LZG,langzhong,sichuan,1019
PZI,panzhihua,sichuan,1019
TSN,tianjin,tianjin,1020
ACF,alar,xinjiang,NULL
AAT,altay,xinjiang,NULL
BPL,bole,xinjiang,NULL
KJI,burqin,xinjiang,NULL
KRY,karamay,xinjiang,NULL
KCA,kuqa,xinjiang,NULL
RQA,ruoqiang,xinjiang,NULL
QSZ,shache,xinjiang,NULL
SHF,shihezi,xinjiang,NULL
TCG,tacheng,xinjiang,NULL
TWC,tumxuk,xinjiang,NULL
TLQ,turpan,xinjiang,NULL
URC,urumqi,xinjiang,NULL
NLT,xinyuan,xinjiang,NULL
YIN,yining,xinjiang,NULL
ZFL,zhaosu,xinjiang,NULL
DDR,tingri,xigaze,NULL
LGZ,Longzi,xigaze,NULL
APJ,burang,xigaze,NULL
BSD,baoshan,yunnan,NULL
CWJ,cangyuan,yunnan,NULL
DLU,dali,yunnan,NULL
JHG,jinghong,yunnan,NULL
KMG,kunming,yunnan,NULL
JMJ,lancang,yunnan,NULL
LJG,lijiang,yunnan,NULL
LNJ,lincang,yunnan,NULL
LUM,mangshi,yunnan,NULL
NLH,ninglang,yunnan,NULL
DIG,shangri-la,yunnan,NULL
TCZ,tengchong,yunnan,NULL
WNH,wenshan,yunnan,NULL
HGH,hangzhou,zhejiang,1021
NGB,ningbo,zhejiang,1021
WNZ,wenzhou,zhejiang,1021
HSN,zhoushan,zhejiang,1021
