from_city,from_region_id,from_region_name,to_city,to_region_id,to_region_name,type,from_station,to_station,duration,distance,cost,route_id,route_name,enabled
tadami,207,fukushima,tadami,207,fukushima,train,Tadami,Aizu-Gamō,,,,JPRail 11227,只見線,True
tadami,207,fukushima,uonuma,215,niigata,train,Tadami,Ōshirakawa,,,,JPRail 11227,只見線,True
uonuma,215,niigata,tadami,207,fukushima,train,Ōshirakawa,Tadami,,,,JPRail 11227,只見線,True
uonuma,215,niigata,uonuma,215,niigata,train,Ōshirakawa,Irihirose,,,,JPRail 11227,只見線,True
uonuma,215,niigata,uonuma,215,niigata,train,Irihirose,Ōshirakawa,,,,JPRail 11227,只見線,True
uonuma,215,niigata,uonuma,215,niigata,train,Irihirose,Kamijō,,,,JPRail 11227,只見線,True
uonuma,215,niigata,uonuma,215,niigata,train,Kamijō,Irihirose,,,,JPRail 11227,只見線,True
uonuma,215,niigata,uonuma,215,niigata,train,Kamijō,Echigo-Suhara,,,,JPRail 11227,只見線,True
uonuma,215,niigata,uonuma,215,niigata,train,Echigo-Suhara,Kamijō,,,,JPRail 11227,只見線,True
uonuma,215,niigata,uonuma,215,niigata,train,Echigo-Suhara,Koide,,,,JPRail 11227,只見線,True
uonuma,215,niigata,uonuma,215,niigata,train,Koide,Echigo-Suhara,,,,JPRail 11227,只見線,True
takasaki,210,gunma,takasaki,210,gunma,train,Takasaki,Takasakitonyamachi,,,,JPRail 11342,上越線,True
takasaki,210,gunma,takasaki,210,gunma,train,Takasakitonyamachi,Takasaki,,,,JPRail 11342,上越線,True
takasaki,210,gunma,takasaki,210,gunma,train,Takasakitonyamachi,Ino,,,,JPRail 11342,上越線,True
takasaki,210,gunma,takasaki,210,gunma,train,Ino,Takasakitonyamachi,,,,JPRail 11342,上越線,True
takasaki,210,gunma,maebashi,210,gunma,train,Ino,Shin-Maebashi,,,,JPRail 11342,上越線,True
maebashi,210,gunma,takasaki,210,gunma,train,Shin-Maebashi,Ino,,,,JPRail 11342,上越線,True
maebashi,210,gunma,maebashi,210,gunma,train,Shin-Maebashi,Gumma-Sōja,,,,JPRail 11342,上越線,True
maebashi,210,gunma,maebashi,210,gunma,train,Gumma-Sōja,Shin-Maebashi,,,,JPRail 11342,上越線,True
maebashi,210,gunma,shibukawa,210,gunma,train,Gumma-Sōja,Yagihara,,,,JPRail 11342,上越線,True
shibukawa,210,gunma,maebashi,210,gunma,train,Yagihara,Gumma-Sōja,,,,JPRail 11342,上越線,True
shibukawa,210,gunma,shibukawa,210,gunma,train,Yagihara,Shibukawa,,,,JPRail 11342,上越線,True
shibukawa,210,gunma,shibukawa,210,gunma,train,Shibukawa,Yagihara,,,,JPRail 11342,上越線,True
shibukawa,210,gunma,shibukawa,210,gunma,train,Shibukawa,Shikishima,,,,JPRail 11342,上越線,True
shibukawa,210,gunma,shibukawa,210,gunma,train,Shikishima,Shibukawa,,,,JPRail 11342,上越線,True
shibukawa,210,gunma,shibukawa,210,gunma,train,Shikishima,Tsukuda,,,,JPRail 11342,上越線,True
shibukawa,210,gunma,shibukawa,210,gunma,train,Tsukuda,Shikishima,,,,JPRail 11342,上越線,True
shibukawa,210,gunma,numata,210,gunma,train,Tsukuda,Iwamoto,,,,JPRail 11342,上越線,True
numata,210,gunma,shibukawa,210,gunma,train,Iwamoto,Tsukuda,,,,JPRail 11342,上越線,True
numata,210,gunma,numata,210,gunma,train,Iwamoto,Numata,,,,JPRail 11342,上越線,True
numata,210,gunma,numata,210,gunma,train,Numata,Iwamoto,,,,JPRail 11342,上越線,True
numata,210,gunma,minakami,210,gunma,train,Numata,Gokan,,,,JPRail 11342,上越線,True
minakami,210,gunma,numata,210,gunma,train,Gokan,Numata,,,,JPRail 11342,上越線,True
minakami,210,gunma,minakami,210,gunma,train,Gokan,Kamimoku,,,,JPRail 11342,上越線,True
minakami,210,gunma,minakami,210,gunma,train,Kamimoku,Gokan,,,,JPRail 11342,上越線,True
minakami,210,gunma,minakami,210,gunma,train,Kamimoku,Minakami,,,,JPRail 11342,上越線,True
