from_city,from_region_id,from_region_name,to_city,to_region_id,to_region_name,type,from_station,to_station,duration,distance,cost,route_id,route_name,enabled,from_lat,from_lon,to_lat,to_lon
beijing,1001.0,beijing,zhuhai,1004.0,guangdong,flight,PEK,ZUH,225,,,5713,shandong airlines,True,,,,
beijing,1001.0,beijing,dalian,1015.0,liaoning,flight,PEK,DLC,80,,,3950,air new zealand,True,,,,
beijing,1001.0,beijing,guilin,1005.0,guangxizhuangzuzizhiqu,flight,PEK,KWL,195,,,1937,shenzhen airlines,True,,,,
beijing,1001.0,beijing,nanjing,1012.0,jiangsu,flight,PEK,NKG,115,,,5131,shandong airlines,True,,,,
beijing,1001.0,beijing,changchun,1014.0,jilin,flight,PEK,CGQ,100,,,3958,air new zealand,True,,,,
beijing,1001.0,beijing,shanghai,1017.0,shanghai,flight,PEK,PVG,150,,,7613,suparna airlines,True,,,,
beijing,1001.0,beijing,karamay,3005.0,xinjiang,flight,PEK,KRY,290,,,1233,shenzhen airlines,True,,,,
beijing,1001.0,beijing,yinchuan,3003.0,ningxia,flight,PEK,INC,130,,,1281,shenzhen airlines,True,,,,
beijing,1001.0,beijing,guangyuan,1019.0,sichuan,flight,PEK,GYS,150,,,1457,shenzhen airlines,True,,,,
beijing,1001.0,beijing,yuncheng,1018.0,shanxi,flight,PEK,YCU,125,,,1127,shenzhen airlines,True,,,,
beijing,1001.0,beijing,ordos,3002.0,inner mongolia,flight,PEK,DSN,100,,,1117,shenzhen airlines,True,,,,
beijing,1001.0,beijing,fuyang,1000.0,anhui,flight,PEK,FUG,120,,,5644,shandong airlines,True,,,,
beijing,1001.0,beijing,zhanjiang,1004.0,guangdong,flight,PEK,ZHA,240,,,1925,shenzhen airlines,True,,,,
beijing,1001.0,beijing,jieyang,1004.0,guangdong,flight,PEK,SWA,195,,,1347,shenzhen airlines,True,,,,
beijing,1001.0,beijing,daqing,1008.0,heilongjiang,flight,PEK,DQA,120,,,1695,shenzhen airlines,True,,,,
beijing,1001.0,beijing,hefei,1000.0,anhui,flight,PEK,HFE,115,,,5632,shandong airlines,True,,,,
beijing,1001.0,beijing,qionghai,3001.0,hainan,flight,PEK,BAR,260,,,7777,hainan airlines,True,,,,
beijing,1001.0,beijing,dali,3006.0,yunnan,flight,PEK,DLU,245,,,1499,shenzhen airlines,True,,,,
beijing,1001.0,beijing,beihai,1005.0,guangxizhuangzuzizhiqu,flight,PEK,BHY,230,,,1909,shenzhen airlines,True,,,,
beijing,1001.0,beijing,lianyungang,1012.0,jiangsu,flight,PEK,LYG,100,,,5688,shandong airlines,True,,,,
beijing,1001.0,beijing,zhengzhou,1009.0,henan,flight,PEK,CGO,115,,,3988,air new zealand,True,,,,
beijing,1001.0,beijing,lijiang,3006.0,yunnan,flight,PEK,LJG,235,,,1459,shenzhen airlines,True,,,,
beijing,1001.0,beijing,hengyang,1011.0,hunan,flight,PEK,HNY,175,,,1921,shenzhen airlines,True,,,,
beijing,1001.0,beijing,ganzhou,1013.0,jiangxi,flight,PEK,KOW,175,,,5059,shandong airlines,True,,,,
beijing,1001.0,beijing,zunyi,1006.0,guizhou,flight,PEK,WMT,195,,,1491,shenzhen airlines,True,,,,
beijing,1001.0,beijing,hulunbuir,3002.0,inner mongolia,flight,PEK,HLD,150,,,1185,hong kong airlines,True,,,,
