from_city,from_region_id,from_region_name,to_city,to_region_id,to_region_name,type,from_station,to_station,duration,distance,cost,route_id,route_name,enabled
Komatsu,217,Ishikawa,Kanazawa,217,Ishikawa,train,Komatsu,Kanazawa,,,,JPRail 1009,北陸新幹線,True
Komatsu,217,Ishikawa,Kaga,217,Ishikawa,train,Komatsu,Kagaonsen,,,,JPRail 1009,北陸新幹線,True
Kaga,217,Ishikawa,Komatsu,217,Ishikawa,train,Kagaonsen,Komatsu,,,,JPRail 1009,北陸新幹線,True
Kaga,217,Ishikawa,Awara,218,Fukui,train,Kagaonsen,Awaraonsen,,,,JPRail 1009,北陸新幹線,True
Awara,218,Fukui,Kaga,217,Ishikawa,train,Awaraonsen,Kagaonsen,,,,JPRail 1009,北陸新幹線,True
Awara,218,Fukui,Fukui,218,Fukui,train,Awaraonsen,Fukui,,,,JPRail 1009,北陸新幹線,True
Fukui,218,Fukui,Awara,218,Fukui,train,Fukui,Awaraonsen,,,,JPRail 1009,北陸新幹線,True
Fukui,218,Fukui,Tsuruga,218,Fukui,train,Fukui,Tsuruga,,,,JPRail 1009,北陸新幹線,True
Tsuruga,218,Fukui,Fukui,218,Fukui,train,Tsuruga,Fukui,,,,JPRail 1009,北陸新幹線,True
Tsuruga,218,Fukui,Obama,218,Fukui,train,Tsuruga,Higashi-Obama,,,,JPRail 1009,北陸新幹線,True
Obama,218,Fukui,Tsuruga,218,Fukui,train,Higashi-Obama,Tsuruga,,,,JPRail 1009,北陸新幹線,True
Obama,218,Fukui,Kyoto,226,Kyoto,train,Higashi-Obama,Kyōto,,,,JPRail 1009,北陸新幹線,True
Kyoto,226,Kyoto,Obama,218,Fukui,train,Kyōto,Higashi-Obama,,,,JPRail 1009,北陸新幹線,True
Kyoto,226,Kyoto,Kyotanabe,226,Kyoto,train,Kyōto,Matsuiyamate,,,,JPRail 1009,北陸新幹線,True
Kyotanabe,226,Kyoto,Kyoto,226,Kyoto,train,Matsuiyamate,Kyōto,,,,JPRail 1009,北陸新幹線,True
Kyotanabe,226,Kyoto,Osaka,227,Osaka,train,Matsuiyamate,Shin‐Ōsaka,,,,JPRail 1009,北陸新幹線,True
Osaka,227,Osaka,Kyotanabe,226,Kyoto,train,Shin‐Ōsaka,Matsuiyamate,,,,JPRail 1009,北陸新幹線,True
Hakodate,201,Hokkaido,Nanae,201,Hokkaido,train,Hakodate,Nanae,,,,JPRail 11101,JR函館本線(函館～長万部),True
Nanae,201,Hokkaido,Hakodate,201,Hokkaido,train,Nanae,Hakodate,,,,JPRail 11101,JR函館本線(函館～長万部),True
Nanae,201,Hokkaido,Hokuto,201,Hokkaido,train,Nanae,Shin-Hakodate-Hokuto,,,,JPRail 11101,JR函館本線(函館～長万部),True
Hokuto,201,Hokkaido,Nanae,201,Hokkaido,train,Shin-Hakodate-Hokuto,Nanae,,,,JPRail 11101,JR函館本線(函館～長万部),True
Hokuto,201,Hokkaido,Shikabe,201,Hokkaido,train,Shin-Hakodate-Hokuto,Shikabe,,,,JPRail 11101,JR函館本線(函館～長万部),True
Shikabe,201,Hokkaido,Hokuto,201,Hokkaido,train,Shikabe,Shin-Hakodate-Hokuto,,,,JPRail 11101,JR函館本線(函館～長万部),True
Shikabe,201,Hokkaido,Mori,201,Hokkaido,train,Shikabe,Mori,,,,JPRail 11101,JR函館本線(函館～長万部),True
Mori,201,Hokkaido,Shikabe,201,Hokkaido,train,Mori,Shikabe,,,,JPRail 11101,JR函館本線(函館～長万部),True
Mori,201,Hokkaido,Yakumo,201,Hokkaido,train,Mori,Yakumo,,,,JPRail 11101,JR函館本線(函館～長万部),True
Yakumo,201,Hokkaido,Mori,201,Hokkaido,train,Yakumo,Mori,,,,JPRail 11101,JR函館本線(函館～長万部),True
Yakumo,201,Hokkaido,Oshamanbe,201,Hokkaido,train,Yakumo,Oshamambe,,,,JPRail 11101,JR函館本線(函館～長万部),True
Oshamanbe,201,Hokkaido,Yakumo,201,Hokkaido,train,Oshamambe,Yakumo,,,,JPRail 11101,JR函館本線(函館～長万部),True
Aomori,202,Aomori,Kikonai,201,Hokkaido,train,Shin-Aomori,Kikonai,,,,JPRail 1011,北海道新幹線,True
Kikonai,201,Hokkaido,Aomori,202,Aomori,train,Kikonai,Shin-Aomori,,,,JPRail 1011,北海道新幹線,True
Kikonai,201,Hokkaido,Hokuto,201,Hokkaido,train,Kikonai,Shin-Hakodate-Hokuto,,,,JPRail 1011,北海道新幹線,True
Hokuto,201,Hokkaido,Kikonai,201,Hokkaido,train,Shin-Hakodate-Hokuto,Kikonai,,,,JPRail 1011,北海道新幹線,True
Oshamanbe,201,Hokkaido,Kuromatsunai,201,Hokkaido,train,Oshamambe,Kuromatsunai,,,,JPRail 11102,JR函館本線(長万部～小樽),True
Kuromatsunai,201,Hokkaido,Oshamanbe,201,Hokkaido,train,Kuromatsunai,Oshamambe,,,,JPRail 11102,JR函館本線(長万部～小樽),True
Kuromatsunai,201,Hokkaido,Rankoshi,201,Hokkaido,train,Kuromatsunai,Rankoshi,,,,JPRail 11102,JR函館本線(長万部～小樽),True
Rankoshi,201,Hokkaido,Kuromatsunai,201,Hokkaido,train,Rankoshi,Kuromatsunai,,,,JPRail 11102,JR函館本線(長万部～小樽),True
Rankoshi,201,Hokkaido,Niseko,201,Hokkaido,train,Rankoshi,Niseko,,,,JPRail 11102,JR函館本線(長万部～小樽),True
Niseko,201,Hokkaido,Rankoshi,201,Hokkaido,train,Niseko,Rankoshi,,,,JPRail 11102,JR函館本線(長万部～小樽),True
Niseko,201,Hokkaido,Kucchan,201,Hokkaido,train,Niseko,Kutchan,,,,JPRail 11102,JR函館本線(長万部～小樽),True
Kucchan,201,Hokkaido,Niseko,201,Hokkaido,train,Kutchan,Niseko,,,,JPRail 11102,JR函館本線(長万部～小樽),True
Kucchan,201,Hokkaido,Kyowa,201,Hokkaido,train,Kutchan,Kozawa,,,,JPRail 11102,JR函館本線(長万部～小樽),True
Kyowa,201,Hokkaido,Kucchan,201,Hokkaido,train,Kozawa,Kutchan,,,,JPRail 11102,JR函館本線(長万部～小樽),True
Kyowa,201,Hokkaido,Niki,201,Hokkaido,train,Kozawa,Niki,,,,JPRail 11102,JR函館本線(長万部～小樽),True
Niki,201,Hokkaido,Kyowa,201,Hokkaido,train,Niki,Kozawa,,,,JPRail 11102,JR函館本線(長万部～小樽),True
Niki,201,Hokkaido,Yoichi,201,Hokkaido,train,Niki,Yoichi,,,,JPRail 11102,JR函館本線(長万部～小樽),True
Yoichi,201,Hokkaido,Niki,201,Hokkaido,train,Yoichi,Niki,,,,JPRail 11102,JR函館本線(長万部～小樽),True
Yoichi,201,Hokkaido,Otaru,201,Hokkaido,train,Yoichi,Otaru,,,,JPRail 11102,JR函館本線(長万部～小樽),True
Otaru,201,Hokkaido,Yoichi,201,Hokkaido,train,Otaru,Yoichi,,,,JPRail 11102,JR函館本線(長万部～小樽),True
Oshamanbe,201,Hokkaido,Toyoura,201,Hokkaido,train,Oshamambe,Toyoura,,,,JPRail 11104,JR室蘭本線(長万部・室蘭～苫小牧),True
Toyoura,201,Hokkaido,Oshamanbe,201,Hokkaido,train,Toyoura,Oshamambe,,,,JPRail 11104,JR室蘭本線(長万部・室蘭～苫小牧),True
Toyoura,201,Hokkaido,Toyako,201,Hokkaido,train,Toyoura,Tōya,,,,JPRail 11104,JR室蘭本線(長万部・室蘭～苫小牧),True
Toyako,201,Hokkaido,Toyoura,201,Hokkaido,train,Tōya,Toyoura,,,,JPRail 11104,JR室蘭本線(長万部・室蘭～苫小牧),True
Toyako,201,Hokkaido,Date,201,Hokkaido,train,Tōya,Datemombetsu,,,,JPRail 11104,JR室蘭本線(長万部・室蘭～苫小牧),True
Date,201,Hokkaido,Toyako,201,Hokkaido,train,Datemombetsu,Tōya,,,,JPRail 11104,JR室蘭本線(長万部・室蘭～苫小牧),True
Date,201,Hokkaido,Muroran,201,Hokkaido,train,Datemombetsu,Muroran,,,,JPRail 11104,JR室蘭本線(長万部・室蘭～苫小牧),True
Muroran,201,Hokkaido,Date,201,Hokkaido,train,Muroran,Datemombetsu,,,,JPRail 11104,JR室蘭本線(長万部・室蘭～苫小牧),True
Muroran,201,Hokkaido,Noboribetsu,201,Hokkaido,train,Muroran,Noboribetsu,,,,JPRail 11104,JR室蘭本線(長万部・室蘭～苫小牧),True
Noboribetsu,201,Hokkaido,Muroran,201,Hokkaido,train,Noboribetsu,Muroran,,,,JPRail 11104,JR室蘭本線(長万部・室蘭～苫小牧),True
Noboribetsu,201,Hokkaido,Shiraoi,201,Hokkaido,train,Noboribetsu,Shiraoi,,,,JPRail 11104,JR室蘭本線(長万部・室蘭～苫小牧),True
Shiraoi,201,Hokkaido,Noboribetsu,201,Hokkaido,train,Shiraoi,Noboribetsu,,,,JPRail 11104,JR室蘭本線(長万部・室蘭～苫小牧),True
Shiraoi,201,Hokkaido,Tomakomai,201,Hokkaido,train,Shiraoi,Tomakomai,,,,JPRail 11104,JR室蘭本線(長万部・室蘭～苫小牧),True
Tomakomai,201,Hokkaido,Shiraoi,201,Hokkaido,train,Tomakomai,Shiraoi,,,,JPRail 11104,JR室蘭本線(長万部・室蘭～苫小牧),True
Otaru,201,Hokkaido,Sapporo,201,Hokkaido,train,Otaru,Sapporo,,,,JPRail 11103,JR函館本線(小樽～旭川),True
Sapporo,201,Hokkaido,Otaru,201,Hokkaido,train,Sapporo,Otaru,,,,JPRail 11103,JR函館本線(小樽～旭川),True
Sapporo,201,Hokkaido,Ebetsu,201,Hokkaido,train,Sapporo,Ebetsu,,,,JPRail 11103,JR函館本線(小樽～旭川),True
Ebetsu,201,Hokkaido,Sapporo,201,Hokkaido,train,Ebetsu,Sapporo,,,,JPRail 11103,JR函館本線(小樽～旭川),True
Ebetsu,201,Hokkaido,Iwamizawa,201,Hokkaido,train,Ebetsu,Iwamizawa,,,,JPRail 11103,JR函館本線(小樽～旭川),True
Iwamizawa,201,Hokkaido,Ebetsu,201,Hokkaido,train,Iwamizawa,Ebetsu,,,,JPRail 11103,JR函館本線(小樽～旭川),True
Iwamizawa,201,Hokkaido,Bibai,201,Hokkaido,train,Iwamizawa,Bibai,,,,JPRail 11103,JR函館本線(小樽～旭川),True
Bibai,201,Hokkaido,Iwamizawa,201,Hokkaido,train,Bibai,Iwamizawa,,,,JPRail 11103,JR函館本線(小樽～旭川),True
Bibai,201,Hokkaido,Naie,201,Hokkaido,train,Bibai,Naie,,,,JPRail 11103,JR函館本線(小樽～旭川),True
Naie,201,Hokkaido,Bibai,201,Hokkaido,train,Naie,Bibai,,,,JPRail 11103,JR函館本線(小樽～旭川),True
Naie,201,Hokkaido,Sunagawa,201,Hokkaido,train,Naie,Sunagawa,,,,JPRail 11103,JR函館本線(小樽～旭川),True
Sunagawa,201,Hokkaido,Naie,201,Hokkaido,train,Sunagawa,Naie,,,,JPRail 11103,JR函館本線(小樽～旭川),True
Sunagawa,201,Hokkaido,Takikawa,201,Hokkaido,train,Sunagawa,Takikawa,,,,JPRail 11103,JR函館本線(小樽～旭川),True
Takikawa,201,Hokkaido,Sunagawa,201,Hokkaido,train,Takikawa,Sunagawa,,,,JPRail 11103,JR函館本線(小樽～旭川),True
